# SOPH Battery Test Log
# Suite:     nist
# Seed:      5555555555555555
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 5555555555555555 --bytes 0
# Date:      2026-03-22 22:59:04
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
110  97  80 106 102 109 119  94  89  94  0.222480    993/1000	 NonOverlappingTemplate
 98 104 112  86 107  89 109  99 104  92  0.645448    991/1000	 OverlappingTemplate
121 108 111  96 101 104  80  75 104 100  0.048716    983/1000	 Universal
109 115 116 104  88 102  93  87  92  94  0.316052    989/1000	 ApproximateEntropy
 56  74  63  52  72  57  58  51  73  66  0.280812    615/622 	 RandomExcursions
 66  68  68  72  59  64  58  56  54  57  0.789489    609/622 	 RandomExcursions
 72  61  59  55  57  62  68  80  55  53  0.287571    613/622 	 RandomExcursions
 68  64  45  62  65  61  74  66  64  53  0.402729    617/622 	 RandomExcursions
 57  55  61  71  68  63  59  67  58  63  0.916828    618/622 	 RandomExcursions
 66  62  70  59  56  49  63  69  61  67  0.745697    615/622 	 RandomExcursions
 63  54  55  64  58  65  62  61  68  72  0.875912    620/622 	 RandomExcursions
 62  63  65  57  61  61  68  65  63  57  0.995055    617/622 	 RandomExcursions
 53  62  61  55  75  83  58  63  51  61  0.117381    615/622 	 RandomExcursionsVariant
 54  70  53  64  70  63  56  71  61  60  0.696801    614/622 	 RandomExcursionsVariant
 54  56  69  73  60  71  63  59  57  60  0.706697    614/622 	 RandomExcursionsVariant
 59  48  74  67  64  62  65  57  70  56  0.511632    613/622 	 RandomExcursionsVariant
 62  55  51  66  60  68  65  64  61  70  0.844553    613/622 	 RandomExcursionsVariant
 57  62  58  54  60  57  70  79  62  63  0.550426    616/622 	 RandomExcursionsVariant
 60  64  65  65  53  60  63  63  66  63  0.990075    615/622 	 RandomExcursionsVariant
 53  67  63  76  48  67  64  61  57  66  0.422859    617/622 	 RandomExcursionsVariant
 59  63  58  64  64  66  51  74  66  57  0.767870    614/622 	 RandomExcursionsVariant
 43  66  61  68  71  56  66  65  61  65  0.428712    618/622 	 RandomExcursionsVariant
 51  57  67  66  78  65  64  52  65  57  0.394274    618/622 	 RandomExcursionsVariant
 57  54  59  64  76  67  63  55  67  60  0.693493    619/622 	 RandomExcursionsVariant
 48  72  54  59  55  72  66  61  66  69  0.380418    618/622 	 RandomExcursionsVariant
 56  68  51  55  54  59  72  71  64  72  0.380418    616/622 	 RandomExcursionsVariant
 59  47  66  55  60  67  76  59  66  67  0.417051    617/622 	 RandomExcursionsVariant
 57  46  67  55  67  70  65  65  61  69  0.511632    617/622 	 RandomExcursionsVariant
 53  51  64  52  65  68  58  85  56  70  0.066747    620/622 	 RandomExcursionsVariant
